"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ","pval","z","inv_cof_var"
"GSM672761",13.25369033,13.11192862,14.48155167,12.26584201,13.52997026,12.33457361,9.89214461,12.76600149,13.43859219,13.72151636,14.41536729,13.76423197,13.76194498,14.33275836,14.20445688,13.96823197,14.19545279,13.77660149,14.00590855,14.05645093,14.00014721,12.88900186,13.66987732,0.119940007084602,1.17528674879429,13.5298711874746
"GSM672762",13.25168253,13.22730074,14.82197844,12.2190777,13.93093309,12.74603086,10.47872528,13.12063532,14.27576691,14.10461152,14.5076632,14.16779758,14.30353717,14.74027026,14.54011041,14.5931777,14.61673569,14.24770112,14.69494015,14.46409554,14.43607286,13.23707546,13.7497,0.115862956063495,1.19592478497182,13.5880662265819
"GSM672763",13.40275985,13.04265836,14.60551747,12.24317175,13.90030558,12.47178253,10.16753123,12.97704498,14.04813494,14.15506134,14.79863755,14.39460335,14.05925799,14.95582342,14.83115242,14.37361413,14.69494015,14.33275836,14.67619814,14.51143346,14.3805052,13.32318773,13.9254487,0.202548069900882,0.832554303869649,12.5634358220085
"GSM672764",13.30487509,12.92314349,14.64045799,12.25278848,13.95716766,12.32584796,10.15634833,13.02854461,13.86665948,14.01974312,14.5973803,14.18951673,14.01388922,14.76762156,14.64878104,14.37000297,14.55173829,14.21067918,14.65334089,14.39777584,14.21655688,13.21045353,13.88738959,0.178736591291525,0.920190567540414,12.8105521536046
"GSM672765",13.54539665,13.11887398,14.63629591,12.33911152,14.1456342,12.56927323,10.29585874,13.15065688,14.15794052,14.26004424,14.86847249,14.44658587,14.24770112,14.84911041,14.82635502,14.55173829,14.8030119,14.47455279,14.71898885,14.58155874,14.56330743,13.38058216,13.93337732,0.173634655041429,0.93989911745842,12.8661262316496
"GSM672766",13.37430892,12.86008625,14.51143346,12.43023309,14.05645093,12.30338885,10.1611948,12.79137658,13.95989033,14.19217844,14.69906245,14.26634535,14.2077948,14.69494015,14.65334089,14.33275836,14.55602639,14.21655688,14.3837368,14.32986134,14.40846283,13.21777212,13.75453086,0.175545205181402,0.932476336502165,12.8451955081874
"GSM672767",13.11278271,12.71058885,14.35976208,12.05551227,13.81582714,11.96963309,9.598244981,12.78510967,13.85627844,13.55558736,14.21067918,13.59499257,13.67681933,14.21958662,13.94912751,13.91831896,13.92297026,13.57313309,13.93621227,13.76680818,13.88738959,12.92503755,13.75826115,0.177351848364718,0.925504206307879,12.8255355276628
"GSM672768",13.32734535,13.32523234,14.93051896,12.16733941,13.79859108,12.82026617,10.09255093,13.45418271,13.85341561,14.08209294,14.77223197,14.52588253,14.20299201,14.97281599,14.71080558,14.60551747,14.84014647,14.25402268,14.51807323,14.55602639,14.52939071,13.40495093,14.13440409,0.196403986820589,0.854536176547255,12.6254202050729
"GSM672769",13.06752156,13.10802045,14.79863755,12.30886543,13.82289926,12.3463026,9.423149442,12.83102602,13.6722223,14.20152714,14.9914171,13.81090595,13.99217212,14.8074855,14.38725613,14.34210483,14.60551747,14.14266803,14.49293792,14.50400372,14.5706171,13.20505651,14.17950558,0.349977597130576,0.385380950183791,11.3024984643237
"GSM672770",13.06224758,13.01695428,14.45026283,12.41256617,13.6081974,12.08684164,9.443779926,12.91816022,13.15779442,13.7405171,14.46736729,14.10461152,13.55136803,14.76762156,14.6281855,13.82567398,14.55987026,14.11328476,14.53294684,14.19849442,14.07067323,13.10802045,13.76423197,0.295196096776231,0.538267777749541,11.7336080346649
"GSM672771",13.15597175,12.92828178,14.49691561,12.35069814,13.81311004,12.17239498,9.628471004,12.73028625,13.16865353,13.72151636,14.21655688,13.72863755,13.57313309,14.30661041,14.01692193,13.80827249,14.16637026,13.83597807,13.94393941,14.05355316,13.95421375,12.83733197,13.76423197,0.164693267083363,0.975350286990787,12.9660912757841
"GSM672772",13.06929071,12.82326543,14.3805052,12.13241078,13.61745502,11.89014201,9.788638848,12.22177807,13.04989703,13.41130855,13.76919963,13.13574721,13.45721859,13.64831078,13.5084171,13.69896357,13.60378104,13.21777212,13.34864684,13.59499257,13.62222788,12.61245019,13.71375353,0.086086711663666,1.3652533890766,14.0655382424801
"GSM672773",13.23891599,13.03222825,14.82635502,12.08684164,13.92297026,12.66638996,10.42782379,12.82796729,14.32645576,14.00869331,14.47455279,13.77875762,14.10461152,14.54790446,13.94393941,14.30992379,14.25115204,13.97367398,14.13440409,14.17513717,14.13993457,13.05163569,13.87665688,0.0894680028850887,1.34403828885421,14.0057160008439
"GSM672774",13.19629331,13.10047026,14.74487584,12.42726766,14.27227695,12.36678959,10.42730372,12.84668736,14.12176357,14.13440409,14.84911041,14.41200297,14.05925799,14.90230818,14.9261052,14.35627175,14.8030119,14.05645093,14.76273346,14.43247509,14.60165465,13.39298996,13.8509658,0.179652991905952,0.91668832858638,12.8006765563753
"GSM672775",12.9397052,12.81874535,14.56695242,12.36217918,14.16357621,12.06361859,10.08906357,12.67875353,13.96283048,13.87933941,14.55602639,13.86665948,13.99217212,14.5973803,14.52008625,14.16068439,14.46736729,13.78122565,14.41869665,14.00869331,14.30661041,13.12244907,13.75689926,0.188405126324918,0.88378876450026,12.7079065174948
"GSM672776",13.47303755,12.92503755,14.57414535,12.30192082,13.66069851,12.63887881,10.34221784,13.02025465,14.35301933,14.18104015,14.53674944,14.16922491,14.24770112,14.81200037,14.39777584,14.41536729,14.45389294,14.15506134,14.37361413,14.27576691,14.3002197,13.30973011,13.89762082,0.110189544519335,1.22552071767537,13.6715207009459
"GSM672777",13.30585762,12.32441041,14.31970743,11.63497546,13.89762082,11.47898253,9.036495167,12.72872639,13.34303457,13.51044907,14.05925799,13.59271896,13.59499257,14.24770112,13.98971487,13.79092788,14.08902175,13.65160669,13.94912751,13.95989033,13.78840558,12.97873309,13.40092937,0.374740447041944,0.319323922361167,11.1162311623196
"GSM672778",12.9504948,13.19254647,14.34210483,12.07040112,13.4367223,12.24615948,9.273874721,12.89221561,13.30005502,13.83597807,14.42209108,13.72151636,13.59734461,14.41869665,13.93848699,13.88999294,14.13691599,13.78374796,14.09040223,14.01692193,13.97367398,12.99076729,13.98971487,0.247513946571747,0.68233381897182,12.1398447924091
"GSM672779",12.91651264,13.15971115,14.43977026,12.08145093,13.65388439,12.12371933,9.261474535,12.9632026,13.22356468,13.84591078,14.3805052,13.95421375,13.80827249,14.69494015,14.17215799,14.04552862,14.45026283,13.92068736,14.09866691,14.18383309,14.01120595,13.04719888,13.98155204,0.306745675441191,0.505096085159773,11.6400706490866
"GSM672780",12.78051896,12.68798067,14.21067918,12.30746208,13.2291658,11.54112342,8.946330112,12.59049108,12.42726766,13.37838364,14.12469963,13.6106,13.35045167,14.3392342,14.04280037,13.58615465,14.13440409,13.67938253,13.93093309,13.83479257,13.66069851,12.72872639,13.61520669,0.35207841404951,0.379715210425368,11.2865222375172
"GSM672781",12.80000632,12.73028625,13.96283048,12.25782677,13.35045167,11.58256431,9.219752416,12.50036468,12.48356283,13.28452677,14.04023532,13.37430892,13.43237621,14.10146097,13.7935658,13.57092379,13.9054052,13.40275985,13.55765056,13.6744539,13.6722223,12.65458104,13.54637955,0.223550142342584,0.760258162557633,12.3595754965991
