"","spo0E","abrB","rok","yydF","yydG","yydH","yydI","yydJ","pval","z","inv_cof_var"
"GSM672705",10.46318996,13.18522751,12.41414164,13.36340948,12.07172602,12.69864721,13.13193197,12.86639294,0.430942139967614,0.173976055816536,11.7233597404766
"GSM672706",10.69887881,13.77875762,12.45414126,13.28071041,11.47189517,12.60742379,12.98028141,12.87947621,0.373546322184502,0.322475303348315,12.1961528125472
"GSM672708",11.00363941,12.88900186,13.21581859,13.09676506,10.43927658,12.30192082,12.79137658,12.42567472,0.46860805647281,0.0787693128946082,11.4202397636682
"GSM672710",11.41400037,12.66787807,11.86852528,14.06484089,12.61245019,13.7522145,13.9054052,13.56877881,0.289169795181965,0.555811694125692,12.9390510484315
"GSM672711",11.61937045,12.78678773,11.89925465,14.45026283,12.86480892,13.99217212,14.07618625,14.11328476,0.330940302959129,0.43731818918193,12.5617904955739
"GSM672712",11.9427,13.31737249,12.04866431,13.82056989,12.90971413,14.00869331,14.23481264,14.04023532,0.105680062774539,1.24983418494063,15.1486853123914
"GSM672721",12.2058723,13.00807138,11.09843086,15.5469539,12.49886208,13.66069851,13.88486654,13.95159331,0.472080101041357,0.0700420357514813,11.3924537900697
"GSM672722",10.55470335,14.18664647,13.48023494,9.804423792,9.772573978,11.08210335,11.60009591,11.40767807,0.23148045426742,0.733980031160795,13.5063048009767
"GSM672725",10.62261115,12.89897175,13.45721859,10.48689405,9.580934387,11.54228885,11.91889442,11.55119647,0.339833874782329,0.412916557590722,12.4841003890225
"GSM672737",10.43697138,14.04813494,13.26346171,10.05582602,9.792463197,11.12754535,11.52583048,11.60519591,0.19103894845163,0.874074107909865,13.9523374242121
"GSM672738",10.51542156,13.78374796,13.22730074,10.14765651,10.02511822,11.61633606,12.05132193,11.82298996,0.36988849069027,0.332148695806084,12.2269510355245
"GSM672739",10.63562082,13.40092937,13.05860929,9.831281413,9.804423792,11.05279405,11.59011673,11.10190223,0.133652032717762,1.10929239349007,14.7012272515686
"GSM672740",10.50383271,15.03851413,13.77175465,9.61009368,10.00747918,11.23406803,11.25578067,10.77930967,0.0671109069055696,1.49765921347037,15.9377125870885
"GSM672741",10.50141338,14.8169052,13.17062045,10.28401264,10.24398885,11.41876506,11.76959033,11.79491301,0.121710577919616,1.16647820425236,14.8832958855754
"GSM672742",10.67147621,14.34210483,13.26346171,9.839937175,10.17127509,11.09843086,11.4235684,11.24358141,0.0326785211752268,1.84280804117104,17.0366001389277
"GSM672743",9.981542379,13.50622305,12.20380818,9.75594052,10.06570037,10.73825836,10.91926171,10.70775019,0.000651902351265719,3.21514098524212,21.4058445581106
"GSM672744",10.73581636,12.68502305,11.8141171,10.0693658,9.623286617,10.89157584,11.10075985,11.13599963,0.0272796586235714,1.92236920800751,17.2899076075604
"GSM672745",11.64603123,13.32734535,13.00624349,9.861586245,9.75460855,11.56434796,11.44184461,10.63199814,0.331837977347912,0.434843600629297,12.5539118810802
"GSM672746",11.752071,14.02572788,13.27297993,10.0693658,9.367478067,9.844852788,10.02628067,9.826052045,0.360315090433903,0.357616697470225,12.3080362594999
"GSM672747",11.05744312,13.95159331,12.96945762,9.520383643,9.655317472,10.38305279,10.32496394,10.05582602,0.0134078915215258,2.21418895932252,18.2190056266301
"GSM672748",11.31913494,13.78598662,13.16499442,9.580311896,9.546230855,10.1083052,10.1353223,9.865482528,0.0867360612245576,1.36113154487903,15.5030347221914
"GSM672752",10.68484851,13.90293309,12.43612565,9.02908513,9.752057249,11.18252342,11.30483197,11.01554164,0.45386199499472,0.115909848936823,11.5384880943878
"GSM672753",10.65846506,13.7824868,12.14881636,9.534535316,9.883156134,11.14480149,11.25459517,10.97927509,0.120497360780916,1.17250411353228,14.9024812229278
"GSM672754",10.58034275,13.81090595,12.29913829,9.699892193,9.89214461,11.02488141,11.12277175,10.73234387,0.0179402387999389,2.09827932723519,17.849971628492
"GSM672755",11.43214164,14.29121375,13.40928959,9.889610409,9.679448327,10.65360335,11.21668625,11.13121933,0.143283592685956,1.06568251263297,14.5623817699533
"GSM672756",11.53162528,14.25115204,13.54124015,9.763730112,9.580311896,11.02147063,11.14584424,11.04454907,0.254945463835098,0.659007538728425,13.2676067899965
"GSM672757",11.55433086,14.54790446,13.23109554,9.708602974,9.677608736,11.35503383,11.49942454,11.45005353,0.414734429604039,0.215382825311079,11.8551909388108
"GSM672758",11.67069814,14.26946022,12.9836684,14.76762156,11.98715093,12.67092974,13.0917539,12.66355688,0.425947487529376,0.186701123634812,11.7638739114647
"GSM672759",11.70737026,14.16068439,12.80614647,14.19217844,11.72791375,12.19392119,12.82172268,12.29913829,0.238847553253955,0.710014561230802,13.4300033493522
"GSM672760",11.92018364,14.27227695,12.50924944,14.53674944,12.49718067,12.84223494,13.26255799,13.15065688,0.128469029988913,1.1336579373648,14.7788024617645
"GSM672761",11.81292007,14.27893866,12.35485911,14.68241227,11.83279703,12.52685316,12.99247212,12.58323271,0.391256377665316,0.276045974066535,12.0483307488656
"GSM672762",10.97260186,13.70401115,12.49886208,14.3805052,12.12371933,12.88760223,12.98986914,12.97545799,0.483108033733553,0.0423545402023445,11.3043021240095
"GSM672763",11.81046245,13.91563829,12.49420967,14.8074855,12.70008885,13.06224758,13.4345881,13.24788216,0.242164584427643,0.699356655092827,13.3960706239777
"GSM672764",11.59519071,13.63515911,12.64107007,15.06617509,13.17595502,13.27297993,13.55356059,13.46569219,0.387966652707246,0.284622586150212,12.075637033863
"GSM672768",10.62261115,13.97367398,12.88597286,12.73507807,10.80403717,12.58602528,12.6938881,12.68944535,0.418068222118015,0.206837915318373,11.8279855871799
"GSM672769",11.15301375,13.88212491,12.69864721,13.97367398,11.14034721,12.60530818,13.05331524,12.39590892,0.492741442786745,0.0181955087115835,11.2273844095657
"GSM672770",11.49768086,14.24448885,12.68047472,13.34118773,10.96807138,12.34349182,12.64033755,12.43176617,0.153657924571616,1.02087039059033,14.4197085833972
"GSM672771",11.28929814,14.31970743,12.35779405,13.30973011,10.60519108,11.87618959,12.36369665,12.22305651,0.302803676618587,0.516353762435125,12.813424575223
"GSM672772",11.63435855,14.5439829,12.47610223,13.80104535,10.76552491,12.25553011,12.52257955,12.40194684,0.381521812148973,0.301486393174347,12.1293281552812
"GSM672774",11.26294796,13.56651933,12.25859294,13.16865353,11.22259814,12.70008885,12.92314349,12.60212045,0.151241072184095,1.03112513053193,14.4523577050652
"GSM672775",11.60519591,13.34118773,12.70008885,13.81582714,12.09093494,12.70469665,13.11887398,12.66205019,0.0504049045285111,1.64094029688462,16.3938920272067
"GSM672776",11.46931636,12.15447286,13.11699257,14.961471,12.89221561,13.36649851,13.52764833,13.39100595,0.423232229627253,0.193631464592419,11.7859387855048
"GSM672778",11.69475316,13.89249665,12.91488662,15.24369703,12.66205019,13.45721859,13.59032751,13.58615465,0.475406908814405,0.0616848340678271,11.3658460656293
"GSM672779",11.57153606,13.6744539,13.02854461,15.01087881,12.54013457,13.20505651,13.48460855,13.41777658,0.447942239535983,0.130861995763105,11.586092857035
"GSM672780",12.2758855,13.8692948,12.92503755,15.36026208,12.99247212,13.06405353,13.53679182,13.12800297,0.304746733161831,0.510796634070516,12.7957317462352
"GSM672781",12.19544498,13.94646394,12.36989182,14.89745725,12.46166171,13.00807138,13.25168253,13.01695428,0.198085069763709,0.848481017804306,13.8708539426733
"GSM672782",12.47327881,14.19545279,12.48055799,15.53070669,12.76600149,13.10802045,13.57313309,13.12800297,0.364140083276058,0.347414200430161,12.2755534691926
"GSM672783",12.25706059,13.94779572,12.18015093,15.46632379,12.49129033,12.86961896,13.2291658,12.94970781,0.469576318598682,0.0763349294786046,11.4124891546046
"GSM672784",12.25278848,13.74509665,12.55718141,13.28852007,12.7039013,12.93148625,13.2291658,12.97873309,4.70008955393687e-13,7.1390154184502,33.8987068354009
"GSM672785",12.43328327,13.47196803,12.31027584,14.83115242,13.08473941,12.94628513,13.62670483,13.2692461,0.0525183646642173,1.62091099101007,16.3301225656555
"GSM672789",11.14807026,14.37361413,13.06405353,13.25970781,10.71350892,12.04992751,12.52544535,12.22879703,0.290145391112683,0.552960026869644,12.9299718877965
"GSM672792",10.81364758,14.00014721,12.60364461,13.60160558,11.44588625,12.72569926,12.95315316,12.97873309,0.431412256112708,0.172779804162155,11.7195511050522
