"","accA","spo0A","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","pval","z","inv_cof_var"
"GSM672623",13.14143123,13.7109197,14.2077948,10.3660829,10.63632602,11.7060368,13.22730074,12.67875353,13.49333755,12.82404963,12.34786914,14.66993086,13.78598662,10.87084572,9.311478439,9.59959145,14.36693011,11.68734461,12.21031896,12.36067658,12.36989182,11.64227658,0.102474637882743,1.2675763676584,8.16839455918792
"GSM672630",13.8692948,14.61673569,14.86847249,11.40649405,10.45007435,11.98454572,15.04395688,14.70664796,13.92297026,14.78475056,11.56860223,14.22852825,13.25773792,11.9387881,11.1518223,9.207777695,15.49114684,13.7935658,13.26165428,13.30005502,13.94646394,11.71356952,0.193726824917459,0.86424439347572,7.69210778863101
"GSM672631",13.57540669,14.61673569,14.6741539,11.27490967,11.27385204,12.39295911,14.52209926,14.28826431,13.86138401,14.05645093,11.79491301,14.04683178,13.02025465,11.70109888,11.11013494,9.500127695,15.44358327,13.21581859,12.48971413,12.45691115,13.39298996,12.16591599,0.0333243687359068,1.83403541378921,8.83731487050493
"GSM672632",13.74743383,14.64878104,14.74487584,11.13711487,11.15552937,12.35341599,14.5706171,14.36693011,13.98155204,14.10461152,11.55567323,14.0958948,12.97208327,11.69607844,10.99543978,9.412865428,15.56470372,13.35045167,12.58170112,12.60668736,13.52997026,12.23579331,0.0698251101781605,1.47709482575097,8.41581077254216
"GSM672646",13.38265911,13.73476171,14.32986134,11.16042491,11.17905353,11.81549405,12.56009368,11.96415093,13.49133829,11.752071,12.46391784,13.96540669,13.41130855,12.57725279,12.07040112,10.77255948,14.28826431,11.51967435,10.92505576,11.4645171,11.34937286,10.8370197,0.000415631654424214,3.3421693386148,10.6182404667909
"GSM672647",13.41359628,13.4593829,14.22564647,10.7701803,10.99543978,11.9151855,12.14374758,11.68967509,12.9007197,11.4657,12.1644855,14.1456342,13.31143866,11.92018364,11.53693327,10.59128327,14.32280074,11.11935985,10.27553494,10.9214461,10.93698327,10.68896989,0.0102266926189223,2.31792522537565,9.40873080184269
"GSM672648",13.57092379,13.7497,14.47120892,10.89479591,10.86459591,11.97753792,12.96154498,12.59205613,13.4593829,12.14299442,12.13786729,14.26634535,13.45520892,12.25706059,11.39588067,10.59812825,14.70664796,12.08812974,10.71943829,11.17430409,12.10021896,11.04578699,0.00555233035872735,2.53938795868583,9.67025177414041
"GSM672649",13.36832156,13.21222714,14.13993457,10.52265576,10.92041933,11.83214907,11.58383606,10.98499331,12.86008625,11.11236022,12.2163461,14.11600446,13.51480558,11.68483494,11.56554647,10.75825539,14.00590855,10.67029442,9.265559851,10.36110929,11.04701784,10.8252368,0.060967837946842,1.54669969832682,8.49800579326016
"GSM672650",13.41578699,13.2904829,14.22263903,10.86517584,10.94389777,11.97375353,11.7543855,11.09506729,13.00624349,11.07857138,12.14521264,14.16922491,13.32734535,11.72348773,11.39101301,10.82305316,14.36693011,10.58034275,9.322251301,10.2773684,11.09961338,10.87208662,0.0713214059652504,1.46602009685408,8.40273284369265
"GSM672654",13.53887881,13.16865353,14.45389294,10.82305316,11.7644632,12.14044424,10.85440372,10.62500372,12.93638178,9.650143866,11.98850669,14.06484089,13.07116617,12.13241078,11.7049197,11.32477955,14.66175056,9.992781041,8.788727138,10.23297993,11.25749758,11.22608885,0.256805373812575,0.653225756717708,7.44292004388933
"GSM672655",13.54539665,13.18357249,14.57414535,10.53330372,11.75678996,12.38124796,10.37514052,10.02391561,12.73823494,9.054672491,11.85276729,13.91054387,12.74905093,12.05809554,11.82445613,11.59898848,14.73557435,10.07056989,8.47370632,10.28280446,10.88912007,11.12404238,0.434170647905258,0.165765756216253,6.86728814690179
"GSM672665",12.58011896,12.67568848,13.6106,11.06334126,12.158871,12.50924944,9.264464312,8.932741636,13.26346171,8.870406691,12.15447286,13.88349572,12.50707491,12.1503,11.76055242,11.9466974,14.55602639,9.87559145,8.942527509,10.4894658,10.49909703,10.46929405,0.478384195066544,0.0542093265085074,6.73555336007258
"GSM672666",13.02854461,13.00295056,14.41536729,10.84505911,11.80914981,11.90566059,9.974054275,9.921168401,12.78984721,9.290828625,11.38992602,13.8509658,12.14592454,12.1967829,11.20329851,11.51967435,15.24369703,9.960067472,8.385220818,9.981542379,11.07137844,11.22137844,0.467472906936319,0.0816238765891832,6.76792666137272
"GSM672667",13.18166543,12.87794796,14.21067918,10.90965465,11.77697584,12.21173457,9.921168401,9.441220446,12.60967212,9.107285874,12.07309777,13.73114758,12.55260149,12.21495725,11.88390743,11.55055688,15.17188364,9.908577323,8.360233086,10.13052454,11.18360929,11.15801487,0.488231940327162,0.029502430341531,6.70637747385701
"GSM672668",13.12992751,12.91651264,14.32986134,10.84973011,11.71712751,12.12215242,9.856439033,9.366164684,12.50036468,8.705665428,11.99250855,13.7109197,12.37832454,12.25148216,11.64111115,11.42599665,14.67824238,10.00124461,8.38646803,10.07056989,11.13919257,11.14697993,0.481567424660789,0.046220065859437,6.72611899980051
"GSM672669",13.04813494,12.98724424,14.13993457,11.05279405,11.73466357,12.19816729,9.779072862,9.300388104,12.58745911,8.62690223,12.08145093,13.7086368,12.18289145,12.158871,11.7975223,11.3353487,14.52939071,9.930198141,8.330175836,10.13176691,11.15301375,11.19638364,0.464145480210413,0.0899952865477511,6.77781229422455
"GSM672675",12.88276766,13.10592714,13.8692948,10.62261115,12.3463026,12.34786914,10.19194089,10.4357777,12.60530818,8.965011896,12.31027584,14.24448885,12.94882621,11.70737026,11.17905353,11.580029,14.70664796,9.862908178,8.176603717,10.07917026,11.54228885,11.56299777,0.414522158808011,0.215927427125037,6.92652307438627
"GSM672676",12.99944721,13.45520892,13.91054387,11.11124164,12.09511747,12.1767184,11.87491115,11.51118996,12.94628513,10.50016952,12.71816097,14.43247509,13.36243383,11.85680372,11.07273717,11.284429,14.9261052,10.91145613,9.34135316,10.32256357,12.05938885,11.87367249,0.0402647292682193,1.74762225809802,8.73527127988411
"GSM672677",13.10047026,13.6561342,14.17215799,11.41278104,12.0542368,12.50635242,12.9397052,12.11879349,13.20690632,12.13114796,12.62237993,14.56695242,13.77427435,12.32301375,11.40274498,11.13479888,14.90736059,11.99779554,9.961820446,10.63088401,12.2903119,11.75012844,0.00252719670330516,2.8035465583505,9.98219145262504
"GSM672678",13.24083643,13.6940316,14.14860818,11.69090818,12.04992751,12.48055799,13.30005502,12.74905093,13.46367286,12.7318948,11.98584164,14.40126208,13.13477119,12.24615948,11.17175985,11.12166803,14.89277844,12.40042639,10.27611859,10.76070037,12.1154171,11.61762454,0.00066442710976558,3.20967436501638,10.4617797665995
"GSM672679",13.2692461,13.82056989,14.3002197,11.65836766,11.84372045,12.44577862,13.82289926,13.01324461,13.66987732,13.22549963,12.27802639,14.18951673,13.08473941,12.38124796,11.1592223,11.07735651,15.05480706,12.82326543,10.45007435,10.77595948,12.17309703,11.45859368,0.00169662309132047,2.92966773780009,10.1311254650613
"GSM672680",13.46569219,13.88212491,14.56695242,11.65105948,11.59652825,12.31454387,14.21655688,13.47812268,13.95989033,13.82567398,12.39445725,14.12469963,12.92150372,12.17169294,10.91329926,10.76314907,15.52257435,13.0185829,10.64563569,10.96915539,12.19392119,11.62372862,0.0177436636582862,2.10275344736505,9.15463869453747
"GSM672681",13.50188959,14.16357621,14.8536461,11.65346208,11.02368327,12.38563941,14.75811599,13.97367398,13.95159331,14.23797286,12.19544498,13.89762082,13.00027677,11.92544981,10.91145613,10.20057955,14.82635502,13.43237621,11.23174721,11.43697807,12.26440558,11.59954219,0.0308170608075984,1.86891873310783,8.87850789403906
